,p__0,p__1,p__2,p__3,p__4,p__5,p__6,p__7,p__8
2503,0.00022562033705359776,0.06997557117743394,3.444274791091421e-05,0.0546255577406077,0.08726410250471321,0.008924823855401812,0.0051443482022826715,0.03156509060322096,0.15245662554762998
2504,0.0002265084942130647,0.06986429128653565,3.447538094893221e-05,0.05461536462481942,0.08730103905394009,0.008925406066445169,0.005148286276590711,0.031565959108155864,0.1524201465284747
2505,0.0002265084942130647,0.06986429128653565,3.447538094893221e-05,0.05461536462481942,0.08730103905394009,0.008925406066445169,0.005148286276590711,0.031565959108155864,0.1524201465284747
2506,0.00022689612162502614,0.06983708871310995,3.452943900814041e-05,0.05460508989577793,0.087334071088019,0.008928358164056798,0.005148219598777554,0.03155874017351973,0.15244406904921975
2507,0.00022638844485661758,0.06988320745855893,3.454891347784661e-05,0.054597093048979535,0.08734090790735125,0.008944309679255497,0.005151994989122936,0.031552661339519165,0.1523945888242787
2508,0.00022639926575093969,0.06987367030817301,3.4552325536386866e-05,0.05459852936931133,0.08727641879742512,0.008932634707245863,0.005146387584132143,0.031563547786420815,0.15244318733565168
2509,0.00022519853628583775,0.07001559161426446,3.444432787725717e-05,0.054624200789090166,0.08736745392563865,0.008941501645585341,0.005152351030156265,0.03155234002788207,0.1524238106613413
2510,0.00022615940263254658,0.06992071526144421,3.4466117975190806e-05,0.054619483273448254,0.08732706133865553,0.008928849087754837,0.00514813231697849,0.03156260404710612,0.1523995956962481
2511,0.00022615940263254658,0.06992071526144421,3.4466117975190806e-05,0.054619483273448254,0.08732706133865553,0.008928849087754837,0.00514813231697849,0.03156260404710612,0.1523995956962481
2512,0.0002255490216383237,0.06997169162616777,3.448941573430261e-05,0.05461174248303018,0.08735115971004298,0.008935462175412067,0.005153662729907479,0.031556997759012384,0.15240025279759012
2513,0.0002260337968509888,0.06992122379651236,3.4544061243539835e-05,0.05459876963593907,0.0873193383749487,0.008942212052882969,0.0051509818285841395,0.031562521688967844,0.15238742727269494
2514,0.00022605648456612608,0.06993395566461738,3.451817052175403e-05,0.054604366835932484,0.0873456698207404,0.008936278745202435,0.0051495616956026575,0.03156219233402822,0.15238628742840926
2515,0.0002262673844089856,0.06990494848664644,3.451447959076898e-05,0.054607339803418926,0.08729259550768158,0.008926607803967259,0.005145661381102891,0.03156259549614292,0.1524394591937574
2516,0.0002262673844089856,0.06990494848664644,3.451447959076898e-05,0.054607339803418926,0.08729259550768158,0.008926607803967259,0.005145661381102891,0.03156259549614292,0.1524394591937574
2517,0.00022645851063553618,0.06986709003983227,3.450678996148549e-05,0.054608783604186084,0.08737140314844144,0.008935498155830356,0.005153030374952943,0.03156106350340042,0.1524305239349268
2518,0.00022613122745397842,0.0699086178368908,3.453392076734742e-05,0.05460108930121195,0.0873558010706268,0.008930737670606991,0.005152560560532029,0.03156321002196605,0.15242890957841904
2519,0.00022615717891597524,0.06989949385496334,3.454116719667996e-05,0.054600516864032216,0.08723255564107563,0.00893169633648445,0.005146811751136017,0.031571209970810594,0.15239655656130807
2520,0.00022626905585877515,0.06990511643746114,3.4533274479796886e-05,0.0546036489092008,0.08730043960903898,0.008932117395670994,0.005148210927414496,0.0315557322201063,0.15244120167558647
2521,0.00022685924214507915,0.06982376185620348,3.450986468720459e-05,0.054606464710150834,0.0873513865901863,0.0089384819592094,0.005151907237779204,0.03155735821018453,0.1524144543653686
2522,0.00022567576826967563,0.06994826285351866,3.442293863687235e-05,0.05463198205388497,0.08739429327623584,0.00894097124257278,0.005153330087329544,0.031552297932807234,0.15249142850266742
2523,0.00022612830576153087,0.06991226319517227,3.4481068401989995e-05,0.054614710148438085,0.08726974468473674,0.008917537767282095,0.005148122704434383,0.031571480486904044,0.1523932444186431
2524,0.00022570427044202998,0.06996448744694495,3.4482426557426296e-05,0.05461460566975597,0.0872782978494498,0.008918413520441643,0.005147100007059905,0.0315729542282214,0.15239451462484194
2525,0.0002270758554073348,0.0698038615578277,3.444239575948347e-05,0.05462509326429565,0.08740515104335794,0.008926489978915203,0.005152325721018314,0.031554245973677765,0.15247269855509982
2526,0.0002261799841123926,0.06989029590650532,3.4462386241263144e-05,0.05462058476785879,0.08740859117365925,0.008945555257376019,0.005156313929619798,0.03155112702574544,0.1524262211915285
2527,0.0002258209136893761,0.06994237000736074,3.4475473188613676e-05,0.0546168972516337,0.08733609595917105,0.008941365784520677,0.0051520967177498,0.031552937953153934,0.15240556460116628
2528,0.0002257696414791569,0.06995555202632102,3.450921517883289e-05,0.054608648865417136,0.08729725932275591,0.008930300083321732,0.005150005016324646,0.031561991984682035,0.15239901531158312
2529,0.00022550661051184327,0.06998538900785263,3.446997949742256e-05,0.05461709827005078,0.08736397125734167,0.00893196123159228,0.005152863011825317,0.03156122862274223,0.15240363850398553
2530,0.00022651712505872168,0.06986976954395653,3.4514509858969364e-05,0.05461037174714138,0.08729212412679667,0.008931192389519406,0.005145444804576397,0.031565918500037364,0.15246089553235032
2531,0.00022612688919579766,0.06992193101213573,3.4529378393957316e-05,0.05460582343417855,0.08731433617671819,0.008933040326378615,0.005145947966393743,0.031557635261269645,0.15248319573704847
2532,0.000225904203509454,0.06993391319237555,3.4475430122909835e-05,0.054617404072884464,0.08732914930828438,0.008933286148920116,0.005150141264271546,0.031566325040272535,0.15241647447516066
2533,0.00022550500021137392,0.06998490960777251,3.4466808447723505e-05,0.05461944273131938,0.08728565539373484,0.008923619263135183,0.005147970875073293,0.031572015610933035,0.1523888340974078
2534,0.00022588130084950293,0.06995011460591892,3.446850081373547e-05,0.0546173914794205,0.08732353759640657,0.008923888199940862,0.005149965449651682,0.03156454193990062,0.15239077215470775
2535,0.00022617927933148312,0.06991554197846847,3.451155084027853e-05,0.054607431415619336,0.08728512130287605,0.008931991873922776,0.00514596093269831,0.031560761487659836,0.1524272526527577
2536,0.0002263296448048769,0.06990954144518384,3.451830835333978e-05,0.05460459407829989,0.08731830843268812,0.008923044005365333,0.0051470280969287355,0.0315638821017283,0.15239260025731338
2537,0.00022614682075822558,0.0699021303283019,3.4442594559401576e-05,0.05462592142114736,0.08724714790429387,0.008923867790412921,0.0051460165889157475,0.03156560276412451,0.15245039119345855
2538,0.0002261733851862709,0.06992109941064907,3.4536752571114316e-05,0.05460311032519561,0.08728371191212693,0.008929259306214552,0.005144261163020652,0.031562236848988734,0.15247308797335415
2539,0.00022533682584602842,0.07000000867013792,3.4475105426016086e-05,0.05461585566068567,0.08731713401412249,0.008932213008576634,0.0051509405283099215,0.031559368577732484,0.15240871069469292
2540,0.00022554511521415523,0.06999782076964292,3.451654432891739e-05,0.054607513884087834,0.0872953962456573,0.008919692288381754,0.00514653335183211,0.031571141869605183,0.15241601677649788
2541,0.00022573735125369654,0.0699679221980664,3.44853931447365e-05,0.0546127641555794,0.08735102330596962,0.008932154319508155,0.005151010148664705,0.0315596991053149,0.15240263126969605
2542,0.0002262333009452924,0.06988970534063826,3.448127558410309e-05,0.054614904830687525,0.08733816143282236,0.008935569350149566,0.005151820072086882,0.03155891258325022,0.1524288121133997
2543,0.00022709128670306625,0.0697963430503634,3.445253258363304e-05,0.054624262888560725,0.08738206733199877,0.008930470221872345,0.005149531802793156,0.03155638070016758,0.15249740887249771
2544,0.00022566966385090327,0.0699751648927908,3.449741293940321e-05,0.05461124135335006,0.08731532293169891,0.008923847241599172,0.005148652966887078,0.031568359620804884,0.15239181719719122
2545,0.00022694698374827428,0.06982059469508015,3.452617292968225e-05,0.05460215693477681,0.08737591293212278,0.00892980412110512,0.005152490388841025,0.031560691306688836,0.15240865480503518
2546,0.0002257928656414687,0.06994900159606234,3.44773007152494e-05,0.05461834983588526,0.08731457305993813,0.008928088171410624,0.005146079107323292,0.031557346922605235,0.15250846625243025
2547,0.00022619272166708927,0.06990439835589472,3.446760483622642e-05,0.05461988731994688,0.08739669053834849,0.008936019300909679,0.0051531683494674355,0.031554056639649435,0.15244006724748546
2548,0.00022643935265296558,0.06989687023650605,3.458819214459628e-05,0.05458916540451792,0.08724133489732262,0.008923293633401904,0.00514223075944973,0.031571946375418214,0.15243019254039944
2549,0.00022587936360601225,0.06992593949345706,3.44532228146989e-05,0.05462303554661546,0.08735986967545553,0.008944642781099738,0.005154396864673381,0.031552077716859216,0.1524326243166824
2550,0.00022618230698261704,0.06990913211646793,3.447951429933482e-05,0.05461594949875862,0.08725946254748461,0.008921088208204916,0.005144727227041879,0.03157374384519266,0.15242094384471974
2551,0.00022614979309880566,0.06991497461768531,3.4483956835906204e-05,0.054616871910106495,0.08734510530030705,0.008931610004818158,0.005147560132186697,0.031556933544978044,0.15247729858947326
2552,0.00022604893185590712,0.06992413663459875,3.4522963567746954e-05,0.0546050812970837,0.08729500800000975,0.008932325253373844,0.005150776476593756,0.031563428653515316,0.15238734104665205
2553,0.00022513448763138182,0.07005043214505807,3.4459405083333274e-05,0.05462210833764162,0.08735264026240977,0.0089328215326634,0.005147262426707678,0.03155312070835041,0.15245473196000506
2554,0.0002258696812305793,0.06994449918971689,3.44780467834088e-05,0.054614960672127455,0.08731611154040887,0.008933952942542511,0.005149281292521547,0.03156072745616032,0.15241216741921865
2555,0.0002258461536297736,0.06995288125368569,3.4500162245781926e-05,0.05461219110138175,0.08728931679211137,0.008936657599360093,0.005146146925514663,0.03155946608470172,0.15243994408801784
2556,0.00022620947640260611,0.06990921642689296,3.446572010786804e-05,0.054618492721835485,0.0873378281209759,0.008932535193852592,0.0051493730101937855,0.03155754441093584,0.15241677982520702
2557,0.00022591713158956158,0.06993525120440308,3.445951119070439e-05,0.05462219924791364,0.08734769937079861,0.00893031166146279,0.0051491275320000715,0.031556689797311084,0.15248127455456528
2558,0.00022609054919942378,0.06992519669209614,3.4533665781995645e-05,0.05460423135510235,0.08733898678008756,0.008936631316754613,0.0051494499804501355,0.031554647044790426,0.1524514276315179
2559,0.00022559006158406935,0.06998389604474985,3.4511869664920754e-05,0.05460614014970843,0.08738051856635981,0.008933856857497107,0.005151680877543453,0.03155997345636758,0.15240253298630768
2560,0.0002261352653233625,0.06991771945847461,3.446767966338786e-05,0.05462005423915275,0.08738958457060013,0.008930024631540901,0.005150795084365925,0.031559539024369525,0.15246625324180818
2561,0.0002259083958846794,0.06994520327705682,3.451693172375933e-05,0.0546049682734086,0.08729986762993906,0.008929999794022194,0.005149342117923686,0.031559288469448235,0.15238212906639306
2562,0.00022615376584990166,0.06989518033086757,3.447607151729305e-05,0.05461766883876303,0.08726179090610504,0.008932465052801044,0.005146855260863486,0.03156492185157307,0.15244373318093668
2563,0.00022601025230853218,0.06995678037327001,3.4528920188403684e-05,0.054603763340098865,0.08732233336891428,0.008914273407005952,0.005148129097390643,0.03157730042644547,0.15236636420913313
2564,0.00022660050150661402,0.06984922713940153,3.447291427281709e-05,0.05461662013610668,0.08740528962739692,0.008939704777937816,0.005154909081703658,0.03155351946144797,0.1524175363180642
2565,0.00022636337249488383,0.06987592432341913,3.4477785154311605e-05,0.054615700904447013,0.0873661285601657,0.008936554814828199,0.005153022661887529,0.031553498370323875,0.1524448651440412
2566,0.00022605901281675078,0.06991237800573845,3.447851762675053e-05,0.054615770382581176,0.08734296769098204,0.008942247584920043,0.005151973486794048,0.03154685658065798,0.15245951176055209
2567,0.0002269785055069484,0.0698209655828788,3.451540894766061e-05,0.05460849429807235,0.08735746192322716,0.008941419106231176,0.005148343275073516,0.03155426995878252,0.15246462642223751
